epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.927,1.19981,1.09782,1.1699,0.86895,0.6774,0.78009,0.54147,1.10911,0.74949,1.06504,0.000415952,0.000415952,0.000415952
2,225.657,1.11209,0.84768,1.12114,0.79213,0.72041,0.79999,0.61196,0.89612,0.6809,0.99414,0.000816133,0.000816133,0.000816133
3,332.861,1.08649,0.79727,1.10997,0.83776,0.74716,0.83656,0.63749,0.90224,0.62161,1.0001,0.00119981,0.00119981,0.00119981
4,443.155,1.05902,0.75722,1.09562,0.88177,0.77021,0.88146,0.66965,0.90068,0.57287,0.99493,0.00117575,0.00117575,0.00117575
5,550.395,1.02298,0.71213,1.07717,0.88093,0.77419,0.87893,0.69626,0.8374,0.54096,0.9633,0.001151,0.001151,0.001151
6,657.842,1.00144,0.68184,1.06716,0.88442,0.80927,0.89826,0.7169,0.84052,0.51639,0.96628,0.00112625,0.00112625,0.00112625
7,766.445,0.98129,0.66064,1.05876,0.84687,0.76583,0.85255,0.69287,0.7933,0.52453,0.95375,0.0011015,0.0011015,0.0011015
8,875.176,0.9663,0.64185,1.05216,0.88787,0.83477,0.90845,0.73698,0.7694,0.47536,0.94652,0.00107675,0.00107675,0.00107675
9,984.094,0.95237,0.62401,1.04423,0.85086,0.88969,0.92348,0.74915,0.80412,0.4979,0.95231,0.001052,0.001052,0.001052
10,1094.04,0.93535,0.60821,1.03818,0.8783,0.87467,0.9324,0.77046,0.78176,0.45448,0.94407,0.00102725,0.00102725,0.00102725
11,1201.34,0.92186,0.59616,1.03151,0.8952,0.88685,0.952,0.79677,0.74968,0.43722,0.93433,0.0010025,0.0010025,0.0010025
12,1307.66,0.91717,0.59044,1.03121,0.87837,0.88015,0.93684,0.78087,0.73525,0.44649,0.93105,0.00097775,0.00097775,0.00097775
13,1414.46,0.90457,0.5775,1.02201,0.91778,0.88908,0.95055,0.79585,0.73752,0.415,0.92688,0.000953,0.000953,0.000953
14,1522.4,0.8951,0.56711,1.0185,0.91211,0.88775,0.952,0.79278,0.73487,0.4151,0.92658,0.00092825,0.00092825,0.00092825
15,1629.67,0.89191,0.56334,1.0177,0.90197,0.91,0.95293,0.79372,0.74162,0.4167,0.92931,0.0009035,0.0009035,0.0009035
16,1737.37,0.88018,0.55178,1.01356,0.91718,0.90308,0.95637,0.80233,0.72974,0.40465,0.92818,0.00087875,0.00087875,0.00087875
17,1846.37,0.87322,0.54268,1.00989,0.91103,0.91212,0.95606,0.81407,0.69706,0.39775,0.91854,0.000854,0.000854,0.000854
18,1954.39,0.86769,0.53911,1.00625,0.90828,0.89637,0.94992,0.7994,0.72481,0.4084,0.9233,0.00082925,0.00082925,0.00082925
19,2061.11,0.85484,0.52824,1.00332,0.91187,0.91151,0.95799,0.80934,0.70611,0.39358,0.91681,0.0008045,0.0008045,0.0008045
20,2168.43,0.85608,0.52377,1.00029,0.93724,0.90341,0.95912,0.81563,0.71621,0.39978,0.91721,0.00077975,0.00077975,0.00077975
21,2276.88,0.84979,0.5211,0.99933,0.95159,0.89802,0.96602,0.82075,0.70474,0.38135,0.91579,0.000755,0.000755,0.000755
22,2382.68,0.84313,0.50822,0.99481,0.94244,0.89641,0.96576,0.81555,0.71299,0.38473,0.91424,0.00073025,0.00073025,0.00073025
