epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.142,1.28642,1.12493,1.31575,0.69828,0.65464,0.68058,0.46209,1.14469,0.85913,1.20098,0.0673894,0.000665523,0.000665523
2,433.141,1.21999,0.95439,1.28416,0.67744,0.68861,0.71335,0.43848,1.26392,0.83442,1.25622,0.0346987,0.00130821,0.00130821
3,645.426,1.17202,0.8778,1.24998,0.85408,0.70339,0.79681,0.56683,1.01739,0.6726,1.12971,0.00198407,0.0019269,0.0019269
4,855.743,1.12455,0.7991,1.21968,0.79356,0.77697,0.83558,0.64252,0.93269,0.65639,1.07299,0.001892,0.001892,0.001892
5,1063.04,1.09222,0.75478,1.19744,0.84562,0.77969,0.86055,0.64921,0.97585,0.60066,1.09448,0.001856,0.001856,0.001856
6,1270.87,1.06576,0.72027,1.18295,0.85522,0.79933,0.88795,0.69672,0.85296,0.53651,1.03772,0.00182,0.00182,0.00182
7,1486.73,1.02802,0.68435,1.16358,0.86493,0.8155,0.89461,0.69925,0.87339,0.54432,1.04888,0.001784,0.001784,0.001784
8,1693.56,1.01615,0.66341,1.15872,0.88273,0.82013,0.8932,0.7171,0.81056,0.48678,1.02078,0.001748,0.001748,0.001748
9,1901.43,0.99832,0.64366,1.14259,0.84964,0.8243,0.88597,0.70807,0.8236,0.5268,1.03133,0.001712,0.001712,0.001712
10,2112.24,0.98143,0.62908,1.13417,0.9018,0.82672,0.92002,0.71313,0.87712,0.4961,1.05119,0.001676,0.001676,0.001676
11,2319.38,0.9653,0.61175,1.12529,0.8947,0.82208,0.90595,0.72478,0.82443,0.47975,1.02453,0.00164,0.00164,0.00164
12,2527.97,0.94925,0.59293,1.11515,0.90391,0.8365,0.92961,0.76364,0.77348,0.44681,1.00166,0.001604,0.001604,0.001604
13,2737.52,0.94205,0.58348,1.10953,0.90889,0.88514,0.94621,0.75826,0.82414,0.43235,1.01624,0.001568,0.001568,0.001568
14,2943.85,0.93416,0.5722,1.10713,0.89057,0.84837,0.93282,0.77102,0.75513,0.42384,0.99504,0.001532,0.001532,0.001532
15,3167.04,0.92859,0.57007,1.10369,0.89765,0.8365,0.93093,0.76271,0.75142,0.43467,0.98471,0.001496,0.001496,0.001496
16,3378.35,0.91989,0.5597,1.10161,0.90215,0.87573,0.94774,0.77433,0.75516,0.41027,0.99654,0.00146,0.00146,0.00146
17,3585.67,0.90493,0.54647,1.09024,0.91752,0.85119,0.94373,0.77807,0.74431,0.41811,0.98758,0.001424,0.001424,0.001424
18,3813.65,0.89988,0.5389,1.09076,0.89184,0.8881,0.94968,0.7742,0.77882,0.40945,1.00202,0.001388,0.001388,0.001388
19,4031.11,0.88811,0.53238,1.07863,0.89603,0.88741,0.94807,0.79175,0.7262,0.38985,0.97557,0.001352,0.001352,0.001352
20,4242.28,0.88124,0.5261,1.07719,0.9148,0.88764,0.95699,0.79789,0.73514,0.38337,0.97759,0.001316,0.001316,0.001316
21,4448.76,0.87403,0.51922,1.0705,0.9116,0.89373,0.95782,0.81034,0.71294,0.37818,0.97194,0.00128,0.00128,0.00128
22,4670.42,0.86821,0.51283,1.06971,0.89548,0.89745,0.95456,0.80201,0.73022,0.39442,0.98017,0.001244,0.001244,0.001244
23,210.376,0.87976,0.51918,1.08512,0.92283,0.89112,0.95677,0.78912,0.76022,0.38623,0.99883,0.001208,0.001208,0.001208
24,413.418,0.86728,0.50448,1.08028,0.91029,0.92643,0.96318,0.80029,0.72143,0.37587,0.98628,0.001172,0.001172,0.001172
25,618.669,0.85716,0.49909,1.07109,0.92488,0.90856,0.96392,0.81615,0.70718,0.36647,0.98039,0.001136,0.001136,0.001136
26,825.235,0.85196,0.48722,1.06398,0.92058,0.89855,0.95571,0.8018,0.70868,0.37352,0.97117,0.0011,0.0011,0.0011
