epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.2691,1.62286,1.53306,1.27306,0.94077,0.94393,0.95312,0.64946,1.14569,inf,1.10258,0.00332721,0.00332721,0.00332721
2,189.858,1.1771,0.75147,1.03431,0.9561,0.96678,0.97567,0.71568,0.96492,63.1995,0.99092,0.0065946,0.0065946,0.0065946
3,284.738,1.08843,0.67746,0.98932,0.94957,0.96065,0.98463,0.76885,0.81651,51.4411,0.92045,0.00979599,0.00979599,0.00979599
4,374.852,0.98817,0.61168,0.95315,0.96532,0.97606,0.98404,0.80936,0.67315,59.7202,0.86682,0.009703,0.009703,0.009703
5,467.192,0.89286,0.55082,0.92069,0.96163,0.97485,0.9853,0.83553,0.61275,64.9688,0.84924,0.009604,0.009604,0.009604
6,556.179,0.8242,0.5103,0.90198,0.96711,0.97319,0.99029,0.84677,0.59182,53.0925,0.84413,0.009505,0.009505,0.009505
7,731.45,0.78063,0.47843,0.88948,0.96832,0.97864,0.99164,0.8593,0.55959,11.2877,0.83088,0.009406,0.009406,0.009406
8,821.189,0.73847,0.45031,0.87846,0.9888,0.98865,0.99391,0.87555,0.51811,3.88761,0.82267,0.009307,0.009307,0.009307
9,929.757,0.70523,0.43339,0.87194,0.98427,0.98359,0.99345,0.88496,0.48814,6.52974,0.81417,0.009208,0.009208,0.009208
10,1022.72,0.68096,0.41427,0.86547,0.98445,0.98266,0.99381,0.89771,0.44858,5.812,0.80271,0.009109,0.009109,0.009109
11,1111.48,0.65491,0.39909,0.85843,0.99419,0.99587,0.994,0.90451,0.43701,10.2398,0.7982,0.00901,0.00901,0.00901
12,1200.63,0.63882,0.38911,0.85516,0.99557,0.99494,0.99427,0.90711,0.4363,2.77113,0.80067,0.008911,0.008911,0.008911
13,1289.59,0.62476,0.3801,0.85093,0.9931,0.99224,0.99419,0.91574,0.40905,2.2943,0.79258,0.008812,0.008812,0.008812
14,1395.7,0.61073,0.37547,0.84766,0.99537,0.99493,0.99433,0.90983,0.43797,4.25898,0.80279,0.008713,0.008713,0.008713
15,1481.29,0.59577,0.36341,0.84566,0.99462,0.99466,0.99391,0.91588,0.41119,3.63794,0.79038,0.008614,0.008614,0.008614
16,1567.76,0.58454,0.35462,0.8419,0.99622,0.99645,0.99427,0.92932,0.38307,1.74932,0.78531,0.008515,0.008515,0.008515
17,1653.26,0.57556,0.35141,0.84018,0.9972,0.99714,0.99426,0.9211,0.41615,0.87408,0.79545,0.008416,0.008416,0.008416
18,1738.99,0.5651,0.34518,0.83806,0.99768,0.9977,0.99434,0.93138,0.372,3.73078,0.78348,0.008317,0.008317,0.008317
19,1824.06,0.55328,0.33716,0.83542,0.99658,0.99673,0.99427,0.93357,0.36225,1.91436,0.77918,0.008218,0.008218,0.008218
20,1909.48,0.54473,0.33356,0.83376,0.99696,0.99718,0.99435,0.93825,0.35657,0.58491,0.77957,0.008119,0.008119,0.008119
21,2004.62,0.53681,0.32748,0.83123,0.99781,0.99793,0.99437,0.94278,0.34881,1.23614,0.77778,0.00802,0.00802,0.00802
22,2091.35,0.53106,0.32558,0.83058,0.998,0.99776,0.99441,0.94473,0.33989,0.2779,0.77482,0.007921,0.007921,0.007921
23,2177.49,0.52238,0.32028,0.82902,0.99723,0.997,0.9943,0.94523,0.33822,0.64593,0.77453,0.007822,0.007822,0.007822
24,2268.25,0.51588,0.31301,0.82663,0.99799,0.99828,0.99428,0.946,0.34463,0.33876,0.77534,0.007723,0.007723,0.007723
25,2354.62,0.50994,0.31324,0.8264,0.99683,0.99655,0.99432,0.9448,0.34465,3.44446,0.77554,0.007624,0.007624,0.007624
26,2439.77,0.50376,0.30862,0.82458,0.9965,0.99682,0.99438,0.94681,0.33038,1.93811,0.7718,0.007525,0.007525,0.007525
27,2603.61,0.4967,0.30344,0.82321,0.99731,0.99732,0.99436,0.9549,0.31504,1.08107,0.76829,0.007426,0.007426,0.007426
28,2690.71,0.49354,0.30193,0.82274,0.99615,0.99667,0.994,0.95068,0.31696,4.33584,0.76918,0.007327,0.007327,0.007327
29,2776.49,0.48419,0.29743,0.82183,0.99764,0.9977,0.99435,0.9548,0.31187,0.49798,0.76829,0.007228,0.007228,0.007228
30,2862.19,0.48227,0.29312,0.82085,0.9979,0.99836,0.99435,0.95663,0.30665,0.31094,0.76674,0.007129,0.007129,0.007129
31,2958.1,0.47517,0.29247,0.81967,0.99799,0.9983,0.99441,0.95842,0.30308,0.6775,0.76683,0.00703,0.00703,0.00703
32,3055.33,0.47213,0.28981,0.81916,0.99822,0.99828,0.99444,0.96025,0.29879,1.81144,0.76481,0.006931,0.006931,0.006931
33,3141.81,0.46965,0.28974,0.81862,0.9978,0.99827,0.99441,0.96057,0.2971,2.86563,0.76482,0.006832,0.006832,0.006832
34,3227.99,0.4632,0.28695,0.81725,0.99803,0.99845,0.99442,0.96176,0.29397,1.16955,0.76427,0.006733,0.006733,0.006733
35,3313.52,0.46158,0.28467,0.81702,0.99802,0.99807,0.99436,0.96219,0.29082,0.35007,0.76451,0.006634,0.006634,0.006634
36,3400.95,0.45663,0.28273,0.81658,0.99786,0.99777,0.99436,0.96367,0.28283,0.62396,0.76287,0.006535,0.006535,0.006535
37,3486.56,0.45482,0.28024,0.81647,0.99762,0.99788,0.99426,0.96593,0.27728,3.17679,0.76167,0.006436,0.006436,0.006436
38,3590.56,0.45102,0.27818,0.81464,0.99828,0.99832,0.99444,0.96773,0.27321,0.59192,0.75964,0.006337,0.006337,0.006337
39,3686.46,0.44494,0.27432,0.81356,0.9982,0.99834,0.99442,0.96803,0.27256,0.28322,0.76032,0.006238,0.006238,0.006238
40,3772.61,0.44275,0.27589,0.81389,0.99787,0.99797,0.99438,0.969,0.26817,0.49872,0.75953,0.006139,0.006139,0.006139
41,3859.18,0.44062,0.27279,0.81334,0.99824,0.99843,0.99439,0.96773,0.27236,0.21515,0.76025,0.00604,0.00604,0.00604
42,3946.42,0.4344,0.27165,0.81136,0.99813,0.99833,0.99445,0.96754,0.2694,1.47337,0.75915,0.005941,0.005941,0.005941
43,4032.76,0.42977,0.2684,0.81159,0.99807,0.9983,0.99447,0.97087,0.26461,0.20763,0.758,0.005842,0.005842,0.005842
44,4118.32,0.42942,0.26849,0.81135,0.99825,0.99831,0.9944,0.9708,0.26352,0.64072,0.7576,0.005743,0.005743,0.005743
45,4204.14,0.42547,0.2644,0.81091,0.99805,0.99842,0.99444,0.9718,0.25988,1.42597,0.75819,0.005644,0.005644,0.005644
46,4289.33,0.41963,0.26386,0.80983,0.99804,0.99836,0.99445,0.9722,0.25764,0.63452,0.75735,0.005545,0.005545,0.005545
47,4375.8,0.41912,0.2616,0.80955,0.99826,0.99842,0.99445,0.97209,0.25444,0.3106,0.75597,0.005446,0.005446,0.005446
48,4462.12,0.41536,0.26011,0.80953,0.99812,0.99841,0.99449,0.97409,0.25053,0.27541,0.75607,0.005347,0.005347,0.005347
49,4547.51,0.41151,0.25907,0.80801,0.99818,0.99853,0.99445,0.97398,0.24928,0.21671,0.75496,0.005248,0.005248,0.005248
50,4632.99,0.40727,0.25705,0.80758,0.99824,0.99851,0.99444,0.97383,0.25233,0.34397,0.75617,0.005149,0.005149,0.005149
51,4719.15,0.40729,0.2559,0.80784,0.99817,0.9985,0.99449,0.97491,0.24923,0.39546,0.75547,0.00505,0.00505,0.00505
52,4845.95,0.40436,0.25637,0.80815,0.99798,0.99853,0.99445,0.97526,0.2468,0.23007,0.75498,0.004951,0.004951,0.004951
53,4938.45,0.40226,0.25491,0.80673,0.99824,0.99854,0.99446,0.97547,0.2454,0.60633,0.7544,0.004852,0.004852,0.004852
54,5036.02,0.39777,0.251,0.80598,0.99827,0.99842,0.99444,0.97575,0.24499,0.68065,0.75421,0.004753,0.004753,0.004753
55,5125.14,0.39553,0.25084,0.80592,0.99832,0.99843,0.99445,0.97613,0.24191,0.60337,0.75396,0.004654,0.004654,0.004654
56,5210.76,0.39326,0.24834,0.80524,0.99818,0.99845,0.99445,0.97714,0.23956,0.30517,0.75361,0.004555,0.004555,0.004555
57,5296.27,0.39128,0.24795,0.80559,0.99823,0.99842,0.99448,0.97747,0.23697,0.1896,0.75318,0.004456,0.004456,0.004456
58,5385.04,0.38638,0.24446,0.80495,0.9982,0.99834,0.99448,0.97748,0.23674,0.2329,0.7532,0.004357,0.004357,0.004357
59,5471.87,0.38577,0.24468,0.80423,0.99828,0.99857,0.99447,0.97778,0.23587,0.2253,0.75287,0.004258,0.004258,0.004258
60,5558.16,0.38352,0.24476,0.80418,0.99833,0.99849,0.99448,0.97856,0.23201,0.17409,0.75214,0.004159,0.004159,0.004159
61,5643.76,0.38169,0.24291,0.80347,0.99828,0.99864,0.99446,0.97862,0.23118,0.20437,0.75152,0.00406,0.00406,0.00406
62,5731.01,0.37852,0.24154,0.80318,0.99839,0.99842,0.99446,0.97899,0.22987,0.33245,0.7512,0.003961,0.003961,0.003961
63,5817.26,0.37239,0.23916,0.80186,0.99836,0.99853,0.99449,0.97956,0.22867,0.17756,0.75102,0.003862,0.003862,0.003862
64,5903.13,0.37055,0.23676,0.80152,0.99823,0.99861,0.99448,0.97968,0.22823,0.16926,0.75098,0.003763,0.003763,0.003763
65,5988.6,0.37099,0.23971,0.80215,0.99836,0.99858,0.99446,0.97997,0.2264,0.19163,0.75083,0.003664,0.003664,0.003664
66,6074.14,0.36927,0.23687,0.80175,0.99836,0.99838,0.99448,0.98049,0.22482,0.1741,0.75039,0.003565,0.003565,0.003565
67,6160.55,0.36621,0.23585,0.80113,0.99838,0.99856,0.99447,0.98023,0.22496,0.20864,0.75045,0.003466,0.003466,0.003466
