epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.028,1.43589,0.97644,1.19827,0.95458,0.96435,0.96959,0.72147,0.94988,inf,0.91977,0.000475458,0.000475458,0.000475458
2,261.061,1.00501,0.58053,0.97705,0.94917,0.97397,0.98306,0.77777,0.7829,inf,0.8685,0.000932946,0.000932946,0.000932946
3,387.599,0.90815,0.5263,0.9457,0.9365,0.96415,0.98822,0.81511,0.68814,63.8681,0.83726,0.00137157,0.00137157,0.00137157
4,514.73,0.81453,0.48404,0.91592,0.96014,0.97654,0.99021,0.85236,0.60262,63.099,0.82112,0.00134412,0.00134412,0.00134412
5,642.889,0.76634,0.46384,0.90157,0.96514,0.974,0.98785,0.87493,0.52647,inf,0.8035,0.00131582,0.00131582,0.00131582
6,769.824,0.72009,0.43308,0.89002,0.97257,0.97735,0.99134,0.89574,0.47631,26.1817,0.79686,0.00128753,0.00128753,0.00128753
7,896.28,0.69949,0.42175,0.8846,0.97813,0.97625,0.98983,0.89274,0.47739,inf,0.79473,0.00125923,0.00125923,0.00125923
8,1022.77,0.66858,0.41015,0.87613,0.98141,0.97852,0.99299,0.89378,0.46986,10.0515,0.78885,0.00123094,0.00123094,0.00123094
9,1153.89,0.65591,0.39436,0.87264,0.98473,0.9879,0.99321,0.90639,0.45879,6.8893,0.79238,0.00120265,0.00120265,0.00120265
10,1345.78,0.63211,0.38569,0.86736,0.97316,0.97762,0.99405,0.90825,0.43214,1.2306,0.78336,0.00117435,0.00117435,0.00117435
11,1480.13,0.62007,0.37346,0.86395,0.99252,0.99339,0.99432,0.91141,0.43973,1.92269,0.78429,0.00114606,0.00114606,0.00114606
12,1612.96,0.60141,0.36354,0.85827,0.99112,0.99202,0.99411,0.90461,0.45681,2.15562,0.78443,0.00111776,0.00111776,0.00111776
13,1741.51,0.59651,0.35783,0.8577,0.99113,0.99213,0.99428,0.92474,0.3853,0.93589,0.7753,0.00108947,0.00108947,0.00108947
14,1870.14,0.5859,0.35117,0.85488,0.99158,0.99201,0.9941,0.92962,0.38345,1.02953,0.77437,0.00106118,0.00106118,0.00106118
